!!SBtab	SBtabVersion='1.0' Document='Viswan_2018' TableName='E1' TableTitle='Viswan_2018 E1' TableType = 'QuantityMatrix'		
!ID	!Time	>Y1	SD_Y1
E1T0	3600	1	0.01
E1T1	3900	2.5	1
E1T2	5400	1.5	0.8
E1T3	7200	1.3	0.6
E1T4	14400	1.2	0.5
E1T5	36000	1	0.5
