,MAPK_P,MAPK_P_P,pERK,t_pERK
0,0.0,0.0,0.0,0.0
1,5.535793258411603e-11,2.677552651780511e-20,5.535793261089156e-11,5.0
2,2.1585588370562677e-08,3.509542359993683e-15,2.158559188010504e-08,10.0
3,4.117586633347268e-07,1.2017540149672355e-12,4.117598650887418e-07,15.0
4,2.5904942694206593e-06,4.6205712685238844e-11,2.5905404751333446e-06,20.0
5,9.294103918391485e-06,5.863256488839722e-10,9.294690244040369e-06,25.0
6,2.393109159013235e-05,3.862792243067686e-09,2.3934954382375417e-05,30.0
7,4.9689526124193106e-05,1.662825020514701e-08,4.9706154374398256e-05,35.0
8,8.890103280900774e-05,5.331491601582279e-08,8.895434772502357e-05,40.0
9,0.00014276923813245516,1.3803943419757512e-07,0.00014290727756665275,45.0
10,0.00021138420637752068,3.04312457817052e-07,0.00021168851883533773,50.0
11,0.0002939076593874475,5.924137667644519e-07,0.00029450007315421197,55.0
12,0.00038883089550315704,1.045283254055381e-06,0.0003898761787572124,60.0
13,0.0004942373076043938,1.7040901897004007e-06,0.0004959413977940942,65.0
14,0.0006080301361469204,2.604453495912214e-06,0.0006106345896428326,70.0
15,0.0007281085554027689,3.773860628963604e-06,0.0007318824160317325,75.0
16,0.0008524901635854958,5.2304108789393695e-06,0.0008577205744644351,80.0
17,0.0009793862789252955,6.9827157592964795e-06,0.000986368994684592,85.0
18,0.001107239886494476,9.030647633100638e-06,0.0011162705341275767,90.0
19,0.0012347364585337916,1.1366604550282027e-05,0.0012461030630840737,95.0
20,0.001360796647049942,1.397700568703506e-05,0.001374773652736977,100.0
21,0.001484558010391252,1.6843806205876737e-05,0.0015014018165971288,105.0
22,0.001605351060642422,1.9945895763649114e-05,0.0016252969564060711,110.0
23,0.0017226732854973205,2.3260307683084097e-05,0.0017459335931804046,115.0
24,0.0018361635027939133,2.67632116880965e-05,0.0018629267144820098,120.0
25,0.0019455779449238878,3.0430693021127882e-05,0.001976008637945016,125.0
26,0.002050768795993453,3.4239337884444425e-05,0.0020850081338778977,130.0
27,0.0021516654558567535,3.8166653097834216e-05,0.0021898321089545876,135.0
28,0.00224825852359636,4.219134983901261e-05,0.0022904498734353726,140.0
29,0.0023405863296207655,4.629351979647921e-05,0.0023868798494172446,145.0
30,0.0024287237620547143,5.045472874882841e-05,0.0024791784908035426,150.0
31,0.0025127731012754497,5.465804861041725e-05,0.002567431149885867,155.0
32,0.0025928565762912904,5.888804501613761e-05,0.002651744621307428,160.0
33,0.002669110374515967,6.313073391014586e-05,0.002732241108426113,165.0
34,0.00274167986337722,6.737351750604826e-05,0.0028090533808832682,170.0
35,0.002810715812433977,7.160510743090467e-05,0.0028823209198648816,175.0
36,0.0028763714348388116,7.581544081893876e-05,0.00295218687565775,180.0
37,0.0029388000951897906,7.999559351956833e-05,0.003018795688709359,185.0
38,0.0029981535561208646,8.413769335544078e-05,0.0030822912494763055,190.0
39,0.00305458065806817,8.823483543857023e-05,0.0031428154935067404,195.0
40,0.0031082263455463176,9.228100086350682e-05,0.0032005073464098244,200.0
41,0.0031592309692014225,9.627097959193185e-05,0.0032555019487933543,205.0
42,0.0032077298061866993,0.00010020029797961185,0.003307930104166311,210.0
43,0.003253852752388761,0.00010406515113932949,0.00335791790352809,215.0
44,0.003297724149041712,0.0001078623401552938,0.0034055864891970058,220.0
45,0.0033394627136256847,0.00011158921404421675,0.0034510519276699015,225.0
46,0.0033791815509320667,0.00011524361628042804,0.0034944251672124945,230.0
47,0.0034169882250256224,0.00011882383565485686,0.0035358120606804795,235.0
48,0.0034529848767516323,0.00012232856121164093,0.0035753134379632734,240.0
49,0.0034872683745955963,0.00012575684099504518,0.0036130252155906414,245.0
50,0.003519930489245628,0.0001291080443386929,0.003649038533584321,250.0
51,0.0035510580842494084,0.0001323818274349204,0.003683439911684329,255.0
52,0.0035807333167943364,0.00013557810193268885,0.003716311418727025,260.0
53,0.0036090338439543827,0.00013869700632521232,0.003747730850279595,265.0
54,0.003636033030794001,0.00014173887990290372,0.0037777719106969047,270.0
55,0.0036618001575582835,0.00014470423906220927,0.0038065043966204926,275.0
56,0.0036864006238487485,0.0001475937557755975,0.003833994379624346,280.0
57,0.0037098961482127982,0.00015040823804254505,0.0038603043862553434,285.0
58,0.003732344961999508,0.0001531486121552578,0.003885493574154766,290.0
59,0.00375380199666859,0.00015581590662580908,0.003909617903294399,295.0
60,0.003774319064001828,0.00015841123763377703,0.003932730301635605,300.0
61,0.0037939450288754393,0.00016093579586487304,0.0039548808247403125,305.0
62,0.0038127259744118055,0.00016339083462150775,0.0039761168090333135,310.0
63,0.003830705359456636,0.00016577765909620297,0.003996483018552839,315.0
64,0.0038479241684236075,0.00016809761670767503,0.004016021785131283,320.0
65,0.0038644210536214418,0.00017035208840761296,0.0040347731420290545,325.0
66,0.0038802324702353398,0.00017254248087403317,0.004052774951109373,330.0
67,0.00389539280417272,0.00017467021951374839,0.004070063023686468,335.0
68,0.003909934493014144,0.00017673674220326948,0.004086671235217413,340.0
69,0.003923888140328361,0.00017874349370293615,0.004102631634031298,345.0
70,0.0039372826236237415,0.00018069192068490128,0.004117974544308642,350.0
71,0.003950145196213167,0.00018258346732014148,0.004132728663533309,355.0
72,0.003962501583273203,0.00018441957137448826,0.004146921154647692,360.0
73,0.003974376072377691,0.00018620166076770538,0.004160577733145396,365.0
74,0.003985791598776547,0.0001879311505535235,0.004173722749330071,370.0
75,0.0039967698256943105,0.00018960944028197194,0.004186379265976282,375.0
76,0.004007331219903032,0.00019123791170868882,0.004198569131611721,380.0
77,0.0040174951228285705,0.00019281792681873135,0.004210313049647302,385.0
78,0.00402727981742838,0.00019435082613524103,0.004221630643563621,390.0
79,0.004036702591078323,0.00019583792728570179,0.004232540518364025,395.0
80,0.004045779794689167,0.00019728052380091866,0.004243060318490086,400.0
81,0.004054526898270158,0.00019867988412391782,0.004253206782394076,405.0
82,0.004062958543138576,0.00020003725080789867,0.004262995793946475,410.0
83,0.004071088590973402,0.00020135383988415122,0.004272442430857553,415.0
84,0.00407893016989271,0.00020263084038254188,0.004281561010275252,420.0
85,0.004086495717734074,0.0002038694139886059,0.0042903651317226805,425.0
86,0.004093797022700232,0.00020507069482276916,0.004298867717523002,430.0
87,0.004100845261529464,0.00020623578932857666,0.004307081050858041,435.0
88,0.004107651035353272,0.00020736577625859033,0.004315016811611862,440.0
89,0.004114224403427063,0.00020846170675046174,0.004322686110177525,445.0
90,0.004120574915099862,0.00020952460449859202,0.004330099519598454,450.0
91,0.004126711641174265,0.00021055546608216217,0.0043372671072564265,455.0
92,0.004132643209374985,0.00021155526175411146,0.004344198471129097,460.0
93,0.00413837786463642,0.00021252493808650346,0.004350902802722924,465.0
94,0.004143923646527552,0.00021346542875432618,0.004357389075281878,470.0
95,0.004149289096666652,0.00021437770163915948,0.004363666798305811,475.0
96,0.0041544863433066685,0.00021526296854812045,0.0043697493118547885,480.0
97,0.0041595448201579175,0.00021612362276686166,0.004375668442924779,485.0
98,0.004164572356848375,0.00021696742057346224,0.004381539777421837,490.0
99,0.004170023757426614,0.00021782585295023043,0.004387849610376844,495.0
100,0.0041778182188793415,0.00021883010205337095,0.004396648320932712,500.0
101,0.004195230981967294,0.00022047106924300648,0.0044157020512103,505.0
102,0.004244144520583518,0.0002242113485262746,0.004468355869109793,510.0
103,0.004373816709149509,0.00023342818699669942,0.004607244896146208,515.0
104,0.0046687365877948845,0.00025460822409599895,0.004923344811890883,520.0
105,0.0052408912968040094,0.0002990511035825772,0.005539942400386587,525.0
106,0.006203538540803343,0.00038560846140684894,0.006589147002210192,530.0
107,0.0076385585031571385,0.00054420504667237,0.00818276354982951,535.0
108,0.009573570548525227,0.0008182345242593388,0.010391805072784565,540.0
109,0.011976650324531405,0.0012635358723313026,0.013240186196862708,545.0
110,0.014766694019078756,0.001943307758971103,0.01671000177804986,550.0
111,0.017832390517705833,0.0029204531558135213,0.020752843673519355,555.0
112,0.021052482704460567,0.004249840534071894,0.02530232323853246,560.0
113,0.024312356284530327,0.005972552439725129,0.030284908724255453,565.0
114,0.02751486045362481,0.008113073641270306,0.03562793409489512,570.0
115,0.030585424032642805,0.0106793348253203,0.0412647588579631,575.0
116,0.033472672089944575,0.01366495757043802,0.047137629660382596,580.0
117,0.03614607574912316,0.01705291715252307,0.05319899290164623,585.0
118,0.0385920251834084,0.0208199231567928,0.05941194834020121,590.0
119,0.04080938286581004,0.024940903308306506,0.06575028617411655,595.0
120,0.04280521804841122,0.029393005334037263,0.07219822338244848,600.0
121,0.04459112224210578,0.03415858776213486,0.07874971000424064,605.0
122,0.04618028530621107,0.039226845320764196,0.08540713062697528,610.0
123,0.047585371463329064,0.044593990808706824,0.09217936227203588,615.0
124,0.048817157745294916,0.050262178417532735,0.09907933616282766,620.0
125,0.04988386059979754,0.0562375017630343,0.10612136236283184,625.0
126,0.05079105747823391,0.06252742261887408,0.11331848009710799,630.0
127,0.05154209482034894,0.06913794377211391,0.12068003859246285,635.0
128,0.05213885728719287,0.07607079376526003,0.1282096510524529,640.0
129,0.05258275803812184,0.08332086472184061,0.13590362275996246,645.0
130,0.052875802187771305,0.0908741248511807,0.143749927038952,650.0
131,0.05302158072406482,0.09870619458143465,0.15172777530549947,655.0
132,0.053026072628725614,0.10678171982469145,0.15980779245341706,660.0
133,0.052898167316581375,0.11505460083035829,0.16795276814693966,665.0
134,0.05264986282114887,0.12346905116453155,0.17611891398568041,670.0
135,0.05229614028796104,0.13196138109413572,0.18425752138209675,675.0
136,0.051854555046480136,0.14046233401426822,0.19231688906074834,680.0
137,0.05134461327452248,0.1488997613437812,0.20024437461830366,685.0
138,0.050787018299296584,0.1572014044782053,0.20798842277750187,690.0
139,0.05020287208062469,0.16529756186685884,0.21550043394748353,695.0
