,EGF,gkaf,pERK_ratio,tshort
0,0.0,0.168642,0.0,0.0
1,3.924395857903098e-27,0.16864199997406878,5.535793261089156e-11,5000.0
2,1.758792202435459e-26,0.16864198988842596,2.158559188010504e-08,10000.0
3,7.882359791339031e-26,0.16864180711326543,4.117598650887418e-07,15000.0
4,3.532628572840075e-25,0.1686407864704452,2.5905404751333446e-06,20000.0
5,1.583214286584365e-24,0.16863764592599892,9.294690244040369e-06,25000.0
6,7.095474164807742e-24,0.16863078771683024,2.3934954382375417e-05,30000.0
7,3.1799709009863846e-23,0.16861871522742353,4.9706154374398256e-05,35000.0
8,1.4251640825966442e-22,0.16860032944470413,8.895434772502357e-05,40000.0
9,6.387142290181072e-22,0.168575055229711,0.00014290727756665275,45000.0
10,2.8625185782601315e-21,0.16854283469134843,0.00021168851883533773,50000.0
11,1.2828918221347639e-20,0.16850404165008245,0.00029450007315421197,55000.0
12,5.749522255679458e-20,0.16845936274075834,0.0003898761787572124,60000.0
13,2.576757104394487e-19,0.16840967651155775,0.0004959413977940942,65000.0
14,1.1548224147647642e-18,0.1683559485035942,0.0006106345896428326,70000.0
15,5.1755549926251135e-18,0.16829914997231407,0.0007318824160317325,75000.0
16,2.319522823528073e-17,0.16824020109558147,0.0008577205744644351,80000.0
17,1.03953800829749e-16,0.16817993574779705,0.000986368994684592,85000.0
18,4.658886128360747e-16,0.16811908337294013,0.0011162705341275767,90000.0
19,2.08796790341315e-15,0.16805826332322213,0.0012461030630840737,95000.0
20,9.357622928674607e-15,0.16799798758166778,0.0013747736527369779,100000.0
21,4.1937956389125525e-14,0.1679386686126456,0.00150140181659713,105000.0
22,1.8795288071554209e-13,0.16788062992732575,0.0016252969564060787,110000.0
23,8.423463709417006e-13,0.1678241176866956,0.0017459335931804423,115000.0
24,3.775134522659172e-12,0.16776931225013283,0.001862926714482184,120000.0
25,1.691897912112483e-11,0.16771633901369096,0.0019760086379458242,125000.0
26,7.582560373727498e-11,0.1676652781901216,0.00208500813388155,130000.0
27,3.398267789714866e-10,0.1676161733891534,0.002189832108970975,135000.0
28,1.5229979452326316e-09,0.16756903898750827,0.002290449873509213,140000.0
29,6.825602892896892e-09,0.16752386635538336,0.002386879849748565,145000.0
30,3.0590222656645606e-08,0.1674806290466989,0.0024791784922891867,150000.0
31,1.3709572071633684e-07,0.16743928707676775,0.0025674311565489806,155000.0
32,6.144174612167227e-07,0.16739979041111783,0.0026517446511836558,160000.0
33,2.7535691197651474e-06,0.16736208177419412,0.0027322412423587917,165000.0
34,1.2339457653080429e-05,0.16732609883821647,0.002809053981202592,170000.0
35,5.527786401339046e-05,0.167291775672339,0.0028823236102962294,175000.0
36,0.0002472623174412816,0.16725904257036503,0.002952198931480142,180000.0
37,0.0010986942724094456,0.16722782001380979,0.003018849693018324,185000.0
38,0.004742587362941204,0.1671979876225657,0.003082532871109557,190000.0
39,0.018242552550643575,0.16716924436386246,0.0031438910839558195,195000.0
40,0.05000000031989272,0.1671405241850173,0.0032052000487995287,200000.0
41,0.08175744783104334,0.1671079553981338,0.0032747247063494144,205000.0
42,0.09525741275267229,0.16705996370678902,0.0033771728203897847,210000.0
43,0.09890130575539877,0.1669702859073481,0.0035686086312857837,215000.0
44,0.09975273768887087,0.16679310241381964,0.0039468433995980745,220000.0
45,0.09994472213740048,0.16646589665438896,0.0046453313494883445,225000.0
46,0.09998766054266268,0.16592146981520817,0.005807521725544205,230000.0
47,0.0999972464309507,0.16510293146359759,0.007554858329746612,235000.0
48,0.0999993855825545,0.16397420065337356,0.009964362889558142,240000.0
49,0.0999998629042828,0.16252315803154044,0.01306190633338703,245000.0
50,0.09999996940977812,0.16075883543433403,0.016828208207260508,250000.0
51,0.09999999317439728,0.15870554421189595,0.021211370955112798,255000.0
52,0.0999999984770021,0.15639644710692946,0.026140602022629626,260000.0
53,0.09999999966017324,0.15386805557711372,0.031537960406294925,265000.0
54,0.0999999999241744,0.15115622522558855,0.037326905189411466,270000.0
55,0.09999999998308103,0.14829363813914995,0.04343766997907157,275000.0
56,0.09999999999622487,0.14530845484393454,0.04981014056549439,280000.0
57,0.09999999999915765,0.14222370560828584,0.05639515430189937,285000.0
58,0.09999999999981204,0.13905703467857009,0.06315504608195158,290000.0
59,0.09999999999995807,0.13582058574810832,0.07006389282798475,295000.0
60,0.09999999999999065,0.13252103900667356,0.07710743439915116,300000.0
61,0.09999999999999792,0.12915995005798553,0.08428235010030641,305000.0
62,0.09999999999999953,0.12573452184527417,0.0915946108479763,310000.0
63,0.0999999999999999,0.12223880702208391,0.09905691246590166,315000.0
64,0.09999999999999998,0.11866520608449886,0.1066854776206919,320000.0
65,0.1,0.11500607486009655,0.11449662431568028,325000.0
66,0.1,0.1112552777062436,0.12250345028051675,330000.0
67,0.1,0.10740956952898999,0.1307128827783804,335000.0
68,0.1,0.10346972389090764,0.13912327043777392,340000.0
69,0.1,0.09944134227708136,0.14772265571648674,345000.0
70,0.1,0.09533529398761335,0.15648783586741277,350000.0
71,0.1,0.09116775723376737,0.16538427521494595,355000.0
72,0.1,0.08695986093094371,0.17436686982350136,360000.0
73,0.1,0.0827369590967563,0.18338149644324542,365000.0
74,0.1,0.07852760058282864,0.19236721182597832,370000.0
75,0.1,0.07436228210750363,0.2012589146274112,375000.0
76,0.1,0.07027208933385691,0.20999024629791102,380000.0
77,0.1,0.06628733704473563,0.21849649389964595,385000.0
78,0.1,0.06243631433847676,0.22671726873507192,390000.0
79,0.1,0.058744224670173525,0.23459876903787813,395000.0
80,0.1,0.05523238560882877,0.2420954882480115,400000.0
81,0.1,0.05191772293268449,0.24917129496293033,405000.0
82,0.1,0.04881256251471068,0.25579987719646324,410000.0
83,0.1,0.0459246956437869,0.26196460293500634,415000.0
84,0.1,0.043257672321765056,0.2676578940342799,420000.0
85,0.1,0.04081126448631234,0.27288023737625583,425000.0
86,0.1,0.038582037182846224,0.27763896558786144,430000.0
87,0.1,0.03656396919249531,0.2819469321865129,435000.0
88,0.1,0.03474907339175801,0.2858211872988651,440000.0
89,0.1,0.03312797877051667,0.2892817352277914,445000.0
90,0.1,0.031690448389146156,0.29235042877036105,450000.0
91,0.1,0.030425818963890305,0.2950500308360151,455000.0
92,0.1,0.029323357222846704,0.29740345373449567,460000.0
93,0.1,0.028372535251392734,0.2994331713969261,465000.0
94,0.1,0.027563231772765262,0.3011607897029914,470000.0
95,0.1,0.026885868995024636,0.3026067543544192,475000.0
96,0.1,0.026331495739424966,0.30379017342140047,480000.0
97,0.1,0.025891827507620722,0.30472873181154786,485000.0
98,0.1,0.02555925335727657,0.30543867659283996,490000.0
99,0.1,0.025326818266646827,0.3059348546401651,495000.0
100,0.1,0.025188188322269763,0.30623078694928396,500000.0
101,0.1,0.025137604719469235,0.3063387668320293,505000.0
102,0.1,0.025169831322394386,0.30626997185991256,510000.0
103,0.1,0.02528009943710356,0.30603458175701,515000.0
104,0.1,0.025464052525273458,0.3056418964195714,520000.0
105,0.1,0.025717692823926133,0.3051004498668359,525000.0
106,0.1,0.026037331223983023,0.3044181172352192,530000.0
107,0.1,0.026419541277667394,0.30360221295864354,535000.0
108,0.1,0.02686111783125313,0.30265957907513863,540000.0
109,0.1,0.02735904049606438,0.3015966632052301,545000.0
110,0.1,0.027910441959368794,0.3004195861986102,550000.0
111,0.1,0.028512580983775463,0.2991341997722615,555000.0
112,0.1,0.0291628198360619,0.2977461346930842,560000.0
113,0.1,0.02985860581497896,0.29626084021044086,565000.0
114,0.1,0.03059745650379069,0.29468361553751454,570000.0
115,0.1,0.031376948351440906,0.29301963422705446,575000.0
116,0.1,0.03219470818063112,0.29127396229904884,580000.0
117,0.1,0.03304840722801542,0.28945157096309315,585000.0
118,0.1,0.0339357573377658,0.28755734474396344,590000.0
119,0.1,0.03485450895223701,0.2855960857709259,595000.0
120,0.1,0.03580245057027241,0.28357251493407687,600000.0
121,0.1,0.03677740937323467,0.28149127054794454,605000.0
122,0.1,0.03777725274942577,0.27935690509730216,610000.0
123,0.1,0.038799890478674506,0.27717388057372394,615000.0
124,0.1,0.039843277368928065,0.27494656284725055,620000.0
125,0.1,0.04090541616599439,0.2726792154549614,625000.0
126,0.1,0.0419843605847478,0.2703759931302607,630000.0
127,0.1,0.04307821833559606,0.26804093534228035,635000.0
128,0.1,0.044185154043217066,0.2656779600652556,640000.0
129,0.1,0.04530339197557938,0.26329085795288887,645000.0
130,0.1,0.04643121851989333,0.26088328705294034,650000.0
131,0.1,0.047566984358787,0.2584587681617503,655000.0
132,0.1,0.04870910631425216,0.2560206808879717,660000.0
133,0.1,0.04985606883938085,0.25357226046816495,665000.0
134,0.1,0.0510064251483604,0.25111659535460157,670000.0
135,0.1,0.052158797984048974,0.2486566255767253,675000.0
136,0.1,0.0533118800296718,0.24619514186230773,680000.0
137,0.1,0.05446443397701785,0.24373478549187264,685000.0
138,0.1,0.055615292268148,0.24127804885007478,690000.0
139,0.1,0.05676335653106941,0.23882727663036882,695000.0
140,0.1,0.057907596732471846,0.23638466764366545,700000.0
141,0.1,0.059047050072178066,0.23395227717835015,705000.0
142,0.1,0.06018081964517715,0.23153201985644276,710000.0
143,0.1,0.06130807289730782,0.22912567293025132,715000.0
144,0.1,0.06242803990070722,0.2267348799637726,720000.0
145,0.1,0.06354001147460117,0.22436115484424188,725000.0
146,0.1,0.06464333717615506,0.22200588607106386,730000.0
147,0.1,0.06573742318504659,0.21967034127161528,735000.0
148,0.1,0.06682173010414963,0.21735567189612487,740000.0
149,0.1,0.06789577069724194,0.215062918046988,745000.0
150,0.1,0.06895910758317801,0.21279301340101567,750000.0
151,0.1,0.07001135090436089,0.2105467901865463,755000.0
152,0.1,0.07105215598572688,0.20832498418081052,760000.0
153,0.1,0.07208122099892704,0.20612823969620125,765000.0
154,0.1,0.0730982846447419,0.2039571145276221,770000.0
155,0.1,0.07410312386530311,0.2018120848362063,775000.0
156,0.1,0.07509555159618876,0.19969354994791688,780000.0
157,0.1,0.0760754145671305,0.19760183704837636,785000.0
158,0.1,0.07704259115870507,0.19553720575818506,790000.0
159,0.1,0.07799698932121611,0.19349985257548288,795000.0
160,0.1,0.07893854456079626,0.19148991517501515,800000.0
161,0.1,0.07986721799677562,0.18950747655506683,805000.0
162,0.1,0.08078299449335988,0.18755256902576745,810000.0
163,0.1,0.08168588086785757,0.18562517803398637,815000.0
164,0.1,0.08257590417688022,0.1837252458217804,820000.0
165,0.1,0.08345311008128664,0.18185267491674506,825000.0
166,0.1,0.0843175612900392,0.18000733145391312,830000.0
167,0.1,0.08516933608256183,0.17818904833007573,835000.0
168,0.1,0.08600852690877203,0.17639762819229238,840000.0
169,0.1,0.08683523906557913,0.17463284626316872,845000.0
170,0.1,0.08764958944822676,0.17289445300636438,850000.0
171,0.1,0.08845170537468816,0.17118217663615512,855000.0
172,0.1,0.08924172348096963,0.16949572547562725,860000.0
173,0.1,0.09001978868511318,0.16783479016821984,865000.0
174,0.1,0.09078605321745047,0.16619904574784067,870000.0
175,0.1,0.09154067571460048,0.1645881535729083,875000.0
176,0.1,0.09228382037462626,0.1630017631298377,880000.0
177,0.1,0.09301565617069589,0.16143951371163762,885000.0
178,0.1,0.09373635612060827,0.1599010359772528,890000.0
179,0.1,0.09444609660948886,0.15838595339740424,895000.0
180,0.1,0.09514505676304083,0.1568938835925095,900000.0
181,0.1,0.09583341786872605,0.1554244395682869,905000.0
182,0.1,0.09651136284231954,0.15397723085450069,910000.0
183,0.1,0.09717907573732583,0.15255186455220954,915000.0
184,0.1,0.09783674129482993,0.15114794629469896,920000.0
185,0.1,0.09848454453140665,0.14976508112717082,925000.0
186,0.1,0.09912267036281328,0.1484028743100459,930000.0
187,0.1,0.09975130326126008,0.14706093205058796,935000.0
188,0.1,0.10037062694415316,0.14573886216734416,940000.0
