,t,vs
0,0.0,-85.0
1,0.1,-84.98132802997901
2,0.2,-84.95841868377464
3,0.30000000000000004,-84.9322568870516
4,0.4,-84.90452820649385
5,0.5,-84.87590702169737
6,0.6,-84.84677552912103
7,0.7,-84.81738233081872
8,0.7999999999999999,-84.78790158958297
9,0.8999999999999999,-84.75846123398941
10,0.9999999999999999,-84.72915846859306
11,1.0999999999999999,-84.70006907366722
12,1.2,-84.67125330761553
13,1.3,-84.64275981291395
14,1.4000000000000001,-84.61462829020589
15,1.5000000000000002,-84.58689138432345
16,1.6000000000000003,-84.55957605110818
17,1.7000000000000004,-84.53270457328394
18,1.8000000000000005,-84.50629533346168
19,1.9000000000000006,-84.48036341529496
20,2.0000000000000004,-84.45492108042667
21,2.1000000000000005,-84.42997815381305
22,2.2000000000000006,-84.4055423401346
23,2.3000000000000007,-84.37946860641783
24,2.400000000000001,-84.3505239156334
25,2.500000000000001,-84.32052273846281
26,2.600000000000001,-84.28781419287868
27,2.700000000000001,-84.25038863350501
28,2.800000000000001,-84.20997951541202
29,2.9000000000000012,-84.16554971898978
30,3.0000000000000013,-84.11619997371598
31,3.1000000000000014,-84.0643396971003
32,3.2000000000000015,-84.01139726861916
33,3.3000000000000016,-83.95805276877094
34,3.4000000000000017,-83.90470180418772
35,3.5000000000000018,-83.85161874133513
36,3.600000000000002,-83.79887460450992
37,3.700000000000002,-83.74594440827562
38,3.800000000000002,-83.69230940627833
39,3.900000000000002,-83.63769779695859
40,4.000000000000002,-83.58217367212305
41,4.100000000000001,-83.52584164908666
42,4.200000000000001,-83.46863773566601
43,4.300000000000001,-83.41040493425261
44,4.4,-83.35106191420024
45,4.5,-83.29062367700085
46,4.6,-83.22917251943966
47,4.699999999999999,-83.16683160423435
48,4.799999999999999,-83.1037470032183
49,4.899999999999999,-83.040075998117
50,4.999999999999998,-82.97597946539966
51,5.099999999999998,-82.91161691850546
52,5.1999999999999975,-82.8448410842589
53,5.299999999999997,-82.77136271816211
54,5.399999999999997,-82.69371871151839
55,5.4999999999999964,-82.61344439649206
56,5.599999999999996,-82.53112611448749
57,5.699999999999996,-82.44481644245077
58,5.799999999999995,-82.35473097967476
59,5.899999999999995,-82.26015148555297
60,5.999999999999995,-82.16329774735092
61,6.099999999999994,-82.06540532966967
62,6.199999999999994,-81.9661400797643
63,6.299999999999994,-81.86563829914887
64,6.399999999999993,-81.76455351321772
65,6.499999999999993,-81.66339859231964
66,6.5999999999999925,-81.56257688331607
67,6.699999999999992,-81.46241823524508
68,6.799999999999992,-81.36319364966228
69,6.8999999999999915,-81.26486874412225
70,6.999999999999991,-81.167134816154
71,7.099999999999991,-81.06996162498328
72,7.19999999999999,-80.96953008644459
