,t,vs
0,0.0,-85.0
1,0.1,-84.98131481485787
2,0.2,-84.96270790829288
3,0.30000000000000004,-84.94241349624323
4,0.4,-84.92031953992314
5,0.5,-84.8968126133924
6,0.6,-84.87221222222436
7,0.7,-84.84677853820288
8,0.7999999999999999,-84.8207272406424
9,0.8999999999999999,-84.7942378214302
10,0.9999999999999999,-84.76738344191813
11,1.0999999999999999,-84.73891638465969
12,1.2,-84.70845094570393
13,1.3,-84.67502967777236
14,1.4000000000000001,-84.63841876622789
15,1.5000000000000002,-84.59779313832246
16,1.6000000000000003,-84.55363869080658
17,1.7000000000000004,-84.50664905531582
18,1.8000000000000005,-84.457323816756
19,1.9000000000000006,-84.40604433505938
20,2.0000000000000004,-84.35312205728815
21,2.1000000000000005,-84.29882285940921
22,2.2000000000000006,-84.24338047311184
23,2.3000000000000007,-84.18700446409886
24,2.400000000000001,-84.12988518582506
25,2.500000000000001,-84.07219696334391
26,2.600000000000001,-84.01410021882606
27,2.700000000000001,-83.9557429582407
28,2.800000000000001,-83.89710788294055
29,2.9000000000000012,-83.83686171639974
30,3.0000000000000013,-83.77367905558552
31,3.1000000000000014,-83.70766915730383
32,3.2000000000000015,-83.63686997800053
33,3.3000000000000016,-83.56123379124891
34,3.4000000000000017,-83.48230652840076
35,3.5000000000000018,-83.4010516064178
36,3.600000000000002,-83.31815826814558
37,3.700000000000002,-83.23416299715767
38,3.800000000000002,-83.14950066316302
39,3.900000000000002,-83.06453187112673
40,4.000000000000002,-82.97932005651614
41,4.100000000000001,-82.89319683547426
42,4.200000000000001,-82.8062343826661
43,4.300000000000001,-82.70928334603298
44,4.4,-82.60718948452404
45,4.5,-82.50759284062252
46,4.6,-82.41020450051002
47,4.699999999999999,-82.31477260836321
48,4.799999999999999,-82.22119451680003
49,4.899999999999999,-82.12943068306265
50,4.999999999999998,-82.03946685816366
51,5.099999999999998,-81.95122155097827
52,5.1999999999999975,-81.864461909262
53,5.299999999999997,-81.7789630203447
54,5.399999999999997,-81.69459250304864
55,5.4999999999999964,-81.61129886993027
56,5.599999999999996,-81.52908485348755
57,5.699999999999996,-81.44798628888383
58,5.799999999999995,-81.36805773899465
59,5.899999999999995,-81.28892036461106
60,5.999999999999995,-81.20956194157652
61,6.099999999999994,-81.13019962449994
62,6.199999999999994,-81.05088762166389
63,6.299999999999994,-80.97039213734153
64,6.399999999999993,-80.88888757169896
65,6.499999999999993,-80.80694427509687
66,6.5999999999999925,-80.72499127385376
67,6.699999999999992,-80.64335176139933
68,6.799999999999992,-80.5622806871851
69,6.8999999999999915,-80.48198658189615
70,6.999999999999991,-80.40264425657907
71,7.099999999999991,-80.32440261539925
72,7.19999999999999,-80.24738975442914
73,7.29999999999999,-80.17171647383228
74,7.39999999999999,-80.09747881888492
75,7.499999999999989,-80.0247600026742
76,7.599999999999989,-79.95363192060972
77,7.699999999999989,-79.88415638556611
78,7.799999999999988,-79.816386164547
79,7.899999999999988,-79.75036586884866
80,7.999999999999988,-79.68613264978423
81,8.099999999999987,-79.62370395265842
82,8.199999999999987,-79.56302317084003
83,8.299999999999986,-79.50397481366552
84,8.399999999999986,-79.44645348515367
85,8.499999999999986,-79.39038816134455
86,8.599999999999985,-79.3357085852648
87,8.699999999999985,-79.28221483782652
88,8.799999999999985,-79.22968336835268
89,8.899999999999984,-79.17799277028968
90,8.999999999999984,-79.12697916865388
91,9.099999999999984,-79.07603453832029
92,9.199999999999983,-79.02487989032399
93,9.299999999999983,-78.97353662575968
94,9.399999999999983,-78.92210594002024
95,9.499999999999982,-78.87071085695119
96,9.599999999999982,-78.81948044758343
97,9.699999999999982,-78.7685431568399
98,9.799999999999981,-78.71802303042338
99,9.89999999999998,-78.66803746958634
100,9.99999999999998,-78.61869597909421
101,10.09999999999998,-78.57009957935315
102,10.19999999999998,-78.52234065509646
